test_name,library,max,mean,median,min,stddev,warmup,iterations,promoteValues,index,checkKeys,ignoreUndefined
boolean_array_1000._deserialize,bson@5.5.1,52.98114504134508,50.625781248249595,51.536133791335594,15.904834609220176,3.94750368404048,1000,1000,-,-,1,0
boolean_array_100._deserialize,bson@5.5.1,45.2216064690027,41.230662705999706,43.03561414030149,1.7019635842935814,4.399152821367342,1000,1000,-,-,1,0
boolean_array_10._deserialize,bson@5.5.1,20.431811764705884,10.248782445495607,9.54353313321905,0.5525264679948872,3.7805077229129296,1000,1000,-,-,1,0
boolean_singleFieldDocument._deserialize,bson@4.7.2,4.398850550603042,4.084150843321275,4.259377827926657,0.11836186707595636,0.5962969633246498,1000,1000,1,0,-,-
boolean_singleFieldDocument._deserialize,bson@4.7.2,4.479897463284379,4.067658355706911,4.281601088867465,0.12171863111127591,0.6188912770767042,1000,1000,0,0,-,-
boolean_singleElementArray._deserialize,bson@4.7.2,4.865491380854493,4.242047929923665,4.671616066644266,0.16099707175595013,0.8206437872114188,1000,1000,1,0,-,-
boolean_singleElementArray._deserialize,bson@4.7.2,5.091310561500906,4.4037274073754995,4.858529252940625,0.04548178724319659,0.8974271990334385,1000,1000,0,0,-,-
boolean_array_1000._deserialize,bson@4.7.2,51.605068410806666,49.12929378194017,50.02796941166417,17.218597523072596,3.8354776738588283,1000,1000,1,0,-,-
boolean_array_1000._deserialize,bson@4.7.2,51.86896576632442,49.31085626014639,50.20262282123421,18.075811313874144,3.7287884334390076,1000,1000,0,0,-,-
boolean_array_100._deserialize,bson@4.7.2,43.864966501979104,39.90223437686064,41.6753196432949,2.1044089160845045,4.391417097428177,1000,1000,1,0,-,-
boolean_array_100._deserialize,bson@4.7.2,43.79246637571808,39.99174267333234,41.63733059325864,2.034937968912899,4.218366534339144,1000,1000,0,0,-,-
boolean_array_10._deserialize,bson@4.7.2,19.343095922296307,11.566241993613342,9.11120849040108,0.13896610000096116,4.8683287844481535,1000,1000,1,0,-,-
boolean_array_10._deserialize,bson@4.7.2,19.902466521179566,11.912988658558337,9.035085408294425,0.14329630025052087,5.206416381348243,1000,1000,0,0,-,-
boolean_singleFieldDocument._deserialize,bson@4.7.2,4.4031477436757305,4.0580040517764715,4.244262734826944,0.12805737162348685,0.6215198416919375,1000,1000,-,-,1,0
boolean_singleElementArray._deserialize,bson@4.7.2,5.035578915774328,4.360605301835646,4.810427842571744,0.05160835989332816,0.8681924795564071,1000,1000,-,-,1,0
boolean_array_1000._deserialize,bson@4.7.2,51.61905504036293,48.91473331092864,49.77759302050307,17.0527098508007,3.8193151509953154,1000,1000,-,-,1,0
boolean_array_100._deserialize,bson@4.7.2,43.864966501979104,39.97972646218867,41.820768365383046,2.209134360256135,4.268169635558216,1000,1000,-,-,1,0
boolean_array_10._deserialize,bson@4.7.2,19.910042386448875,11.969109099615782,8.939864564904303,0.13994803495834654,5.24991450133005,1000,1000,-,-,1,0
boolean_singleFieldDocument._deserialize,bson-ext@4.0.2,3.1534803057516396,2.9606436072509164,3.0737822834285016,0.11097273727463879,0.39476379195886147,1000,1000,1,0,-,-
boolean_singleFieldDocument._deserialize,bson-ext@4.0.2,3.1098673422101393,2.9217783574674745,3.020140491239299,0.10731019690659116,0.37372325721255634,1000,1000,0,0,-,-
boolean_singleElementArray._deserialize,bson-ext@4.0.2,5.12203205617463,4.7033754813498625,4.99634624186578,0.10457099090544116,0.7465294995772074,1000,1000,1,0,-,-
